"ensembl","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000108924.13","HLF",47.768067338558,-11.9557344339464,3.3112768322818,4.41345969199365e-15,5.31159873931436e-11
"ENSG00000169193.11","CCDC126",139.761297607933,-5.58491407502282,1.02871972346719,7.02927245006919e-09,2.07822057634056e-05
"ENSG00000170180.20","GYPA",337.315975143396,5.19554259504224,1.03424658735374,1.03608836377593e-08,2.07822057634056e-05
"ENSG00000198838.13","RYR3",147.425951553413,-3.72326182821061,0.69655187340178,8.40899425667195e-09,2.07822057634056e-05
"ENSG00000227507.2","LTB",71.3957733698254,7.15442922150647,1.90741921711808,9.6724889068458e-09,2.07822057634056e-05
"ENSG00000156738.17","MS4A1",89.4790641031043,5.12275165824326,1.14020283518949,4.71227530578664e-08,8.10174761502031e-05
"ENSG00000111664.10","GNB3",49.1923462338408,-7.21717672264183,1.41983682278144,7.59613127842333e-08,0.000114274299919781
"ENSG00000163737.3","PF4",21.470246318435,-7.86363571850705,1.92007124726647,3.39213152946506e-07,0.000447712992503852
"ENSG00000173868.11","PHOSPHO1",155.173955410302,6.01352097502618,1.58727713599336,3.72009133779686e-07,0.000447712992503852
"ENSG00000172331.11","BPGM",1424.25653608771,5.39025589333435,1.32671576897029,4.82662561609595e-07,0.000528076720815588
"ENSG00000156966.6","B3GNT7",70.7441482278157,2.97440837330981,0.703852649908059,7.7079659946202e-07,0.00077304475621045
"ENSG00000105143.12","SLC1A6",19.7104105390596,-6.85318012321602,1.64823243252058,8.48982003474623e-07,0.000785961416293623
"ENSG00000165949.12","IFI27",201.19029248279,11.3101365707007,4.12379845122411,9.90726589540024e-07,0.000851671036079585
"ENSG00000151789.10","ZNF385D",21.6757676531719,-5.58977291017503,1.34676248378186,3.25710178752128e-06,0.00261328133418791
"ENSG00000151838.11","CCDC175",33.4732571877841,-5.04399519241375,1.25818448931197,4.24604182500639e-06,0.00300594784493834
"ENSG00000197959.13","DNM3",46.8325979932079,-5.81355179097757,1.43769852709551,4.06634146333626e-06,0.00300594784493834
"ENSG00000154734.14","ADAMTS1",13.7595227524937,-7.1184363193781,1.98820724818731,6.51825328644749e-06,0.00435817657235531
"ENSG00000145335.15","SNCA",1011.97146797358,4.23233964478522,1.22661306385006,7.4637988379076e-06,0.00472772731653779
"ENSG00000013306.15","SLC25A39",2612.19935130312,4.2058829554651,1.24485323246728,8.87932193232074e-06,0.00511676438275026
"ENSG00000174175.16","SELP",12.0399903016277,-9.24031179642201,3.37074082411831,9.35345379480729e-06,0.00511676438275026
"ENSG00000179240.9","AP002360.1",51.1863529311309,-5.82892126765299,1.50408320756827,9.09397182810246e-06,0.00511676438275026
"ENSG00000127511.9","SIN3B",438.459641153934,-3.87023207741867,1.0193735257798,1.33188547732945e-05,0.00696923553028693
"ENSG00000004939.13","SLC4A1",863.695271333311,4.39496774982203,1.43224423274647,1.61154377821621e-05,0.00789315501385868
"ENSG00000163684.11","RPP14",97.1035785286427,-3.45167282842122,0.932535169188512,1.63962505481069e-05,0.00789315501385868
"ENSG00000081041.8","CXCL2",118.882685611403,-3.28035920411608,0.884912142401383,1.92891364771545e-05,0.00877017156321066
"ENSG00000158578.18","ALAS2",4024.63279843045,6.69914633828511,2.48628318433241,1.96754991447185e-05,0.00877017156321066
"ENSG00000188672.17","RHCE",43.4309471490534,4.13714375511538,1.44183943437054,2.16079151633927e-05,0.00928754496397969
"ENSG00000196407.11","THEM5",37.5544789917756,8.61046437879334,3.67361544546327,2.34686469854735e-05,0.00973948849897152
"ENSG00000086205.16","FOLH1",13.3729524099538,-6.84616789997288,2.11416206744655,2.61431553012936e-05,0.0100719085800272
"ENSG00000166947.11","EPB42",255.86124352864,4.09371344909198,1.32843968122212,2.54389718920021e-05,0.0100719085800272
"ENSG00000180044.5","C3orf80",34.4642260871442,-4.10081804679713,1.13898437679439,2.76171984329787e-05,0.0100719085800272
"ENSG00000158528.11","PPP1R9A",9.70310599954344,-6.37785082035428,2.02122881582036,2.90423065148262e-05,0.0102801223207628
"ENSG00000163482.11","STK36",74.3572345572292,-3.34054466093365,0.964791479546028,3.98170002496775e-05,0.0136913599429962
"ENSG00000244734.3","HBB",18785.3538348886,3.02557251501993,1.01631083327115,5.01654162140261e-05,0.0167705773371057
"ENSG00000175899.14","A2M",49.8701539346961,-3.28165282277138,0.977803535213924,5.32493815924554e-05,0.0173204407423027
"ENSG00000165152.8","TMEM246",29.580385605121,-4.48018068875991,1.31962048751825,5.95959283072798e-05,0.0180882653519077
"ENSG00000120279.6","MYCT1",79.754410473975,-4.19675641611321,1.24586371867935,6.56057243731511e-05,0.0188079614681142
"ENSG00000183508.4","FAM46C",1790.90442711156,3.72872973518212,1.34778064323204,6.56364255638386e-05,0.0188079614681142
"ENSG00000164398.12","ACSL6",32.9054344192153,3.95490437170461,3.12888973808516,6.76570218407816e-05,0.018936099019856
"ENSG00000076604.14","TRAF4",60.1112377729243,3.01480694228698,1.02433463672399,7.03157981797973e-05,0.0192329688884968
"ENSG00000120210.6","INSL6",31.037603049213,5.7983045636196,2.35780964838526,8.00645553388667e-05,0.0205016366702821
"ENSG00000170271.10","FAXDC2",144.777590786468,3.68424697049319,1.31460017787493,7.91625702684449e-05,0.0205016366702821
"ENSG00000130529.15","TRPM4",9.40140154231536,-6.25441144225387,2.13054029305825,9.14652909284062e-05,0.0224649954351708
"ENSG00000160284.14","SPATC1L",12.0870467488134,6.91317539392508,3.15504049337718,9.46362113548979e-05,0.0227789360731239
"ENSG00000112414.14","ADGRG6",105.246624798969,-3.0753406432748,0.957107090418642,9.8889435754299e-05,0.0228871992173652
"ENSG00000159335.15","PTMS",170.688689082422,-2.95691051305554,0.920188774763874,9.726234768099e-05,0.0228871992173652
"ENSG00000154127.9","UBASH3B",294.051011290407,2.03398992295958,0.708109887689657,0.000112917965734126,0.0247085039565492
"ENSG00000157873.17","TNFRSF14",32.5886565354402,4.5012757421341,1.64151157138424,0.000111681091168988,0.0247085039565492
"ENSG00000204010.3","IFIT1B",643.329275695876,5.55354447620483,2.78118795616548,0.000111070089161472,0.0247085039565492
"ENSG00000124882.3","EREG",301.033213169625,-2.21162756145842,0.694350353252078,0.000121940245612961,0.0261411104572832
"ENSG00000153283.12","CD96",149.192358452138,2.48545031624447,0.929901729954135,0.000123809164608653,0.0261411104572832
"ENSG00000107447.7","DNTT",1627.13613396058,2.00869728948042,0.715464508618018,0.000150351904135641,0.0301920624721753
"ENSG00000185507.19","IRF7",194.434243442203,2.63934580766754,0.958496311029094,0.000150521291926092,0.0301920624721753
"ENSG00000100304.12","TTLL12",238.240002847852,-2.58621758784314,0.840270206087158,0.000153954668026747,0.0303744988475721
"ENSG00000197857.13","ZNF44",340.93354924226,-2.82021402569193,0.923569507200682,0.000169092643961853,0.0328230640335629
"ENSG00000133742.13","CA1",4353.2103206084,3.15160632666894,1.28022789532284,0.000175665329971545,0.0330333163469929
"ENSG00000103056.11","SMPD3",83.9598298754122,2.76966220884666,1.04286952427276,0.000191100291422515,0.0348468485949995
"ENSG00000182141.10","ZNF708",171.485120345314,-2.71062503099804,0.910721322831618,0.000207001899218921,0.0371831023447719
"ENSG00000173262.11","SLC2A14",12.8691328161432,-3.84903063367582,1.30899199422607,0.000214355799683333,0.0374692915380682
"ENSG00000158856.18","DMTN",346.291041994712,3.53887761418963,1.60142579181349,0.000222883329875888,0.0383200125008044
"ENSG00000140030.5","GPR65",49.7823338137552,3.29994299884969,1.26668937899571,0.000227065432627223,0.0384891898826568
"ENSG00000159346.12","ADIPOR1",1759.82159114287,3.10863507740107,1.32836802965829,0.000234195969788262,0.0387389573242244
"ENSG00000104765.15","BNIP3L",2235.0598383084,2.83302070800576,1.18967566527259,0.00025213138438549,0.0399931049127997
"ENSG00000137265.14","IRF4",530.586137424607,2.33114494086331,0.931664417341843,0.000265280957828384,0.0414630691878519
"ENSG00000106070.17","GRB10",187.301618703319,-2.44732514487248,0.847784251899515,0.000279311351132988,0.0429306687339173
"ENSG00000213563.6","C8orf82",46.1128070443855,-3.10978182091996,1.09791323681402,0.000281804971331904,0.0429306687339173
"ENSG00000119922.9","IFIT2",40.5876699425769,2.91220754251814,1.11496406575216,0.000292267195417196,0.0434968550038698
"ENSG00000128322.6","IGLL1",699.952612132612,2.17232281271046,0.873638226190841,0.000299978310371516,0.0434968550038698
"ENSG00000185000.11","DGAT1",172.310237156299,-2.81527258591491,0.984729297834502,0.000294763271237011,0.0434968550038698
"ENSG00000188175.9","HEPACAM2",25.3480758485782,5.19397562796344,2.66032236459573,0.000305345658132804,0.0437480356622416
"ENSG00000105519.15","CAPS",307.366075740907,-3.60638773462934,1.27251541479161,0.0003269416011301,0.0447418924229945
"ENSG00000133069.15","TMCC2",475.746423944136,5.05864315111866,3.21897785266081,0.00032524062822771,0.0447418924229945
"ENSG00000146834.13","MEPCE",298.227479017097,-2.48545073565978,0.880811240917274,0.000337165091138207,0.0447418924229945
"ENSG00000155254.12","MARVELD1",49.5739142678442,-2.04607766585763,0.728005022883344,0.000320654297130924,0.0447418924229945
"ENSG00000162722.8","TRIM58",581.975936912624,3.37570682724321,1.60131408487142,0.000335805906650781,0.0447418924229945
"ENSG00000172889.15","EGFL7",860.293547613427,-2.865122275949,1.01115020232942,0.000331539534704217,0.0447418924229945
"ENSG00000175097.7","RAG2",64.6272008359976,3.48035411552104,1.51298329600728,0.00033830595849543,0.0447418924229945
"ENSG00000159023.19","EPB41",314.050712566498,2.68739535421006,1.17840224529423,0.000342690756505545,0.0448291658102634
"ENSG00000090971.4","NAT14",62.7538402206649,-3.01163209484208,1.0874651440061,0.000349913255459255,0.0452817852629262
"ENSG00000184792.15","OSBP2",291.60742858294,3.32475715655174,1.65921592616779,0.000377276864516013,0.047795021731055
"ENSG00000168734.13","PKIG",267.825520453512,-2.06575817987972,0.741619031263409,0.000393057997901273,0.0492755521327273
